logFC	P.Value	gene	SE
0.104814909767573	0.583447632548148	ENSG00000006659	0.191723606082186
0.0732102885772739	0.579393452980992	ENSG00000006695	0.132277124185456
-0.146400096460052	0.428109700104047	ENSG00000006704	0.185252791175944
0.158608796131828	0.0860888687458376	ENSG00000006712	0.0921035195696379
0.0146175072787435	0.882527928822982	ENSG00000006715	0.0988532722033242
-0.0549611289480721	0.761000063696036	ENSG00000006740	0.181233663098462
0.0462965560879945	0.552223562563794	ENSG00000006744	0.0775559754399081
-0.130364812277037	0.518071769169459	ENSG00000006756	0.202329617450176
-0.00730409085575065	0.965683672055926	ENSG00000006757	0.170255025632562
0.0240033422151201	0.794476630176383	ENSG00000006831	0.0919990251531774
0.0634104123468271	0.66013532251689	ENSG00000007047	0.144494859288557
-0.164473819063104	0.121420411396661	ENSG00000007080	0.106036228432719
0.089384436578525	0.617645981913629	ENSG00000007129	0.179572065508264
0.00272382520964427	0.96864795149674	ENSG00000007168	0.0688664265584288
0.0246970988113503	0.731803068065534	ENSG00000007202	0.0716623656566895
-0.222305590918714	0.101617229386934	ENSG00000007237	0.135818452421098
-0.0601820794136158	0.560904546761149	ENSG00000007255	0.103448862518268
0.144236193751502	0.0439600994468282	ENSG00000007312	0.0710210498741652
-0.429148565882008	0.0231652618507243	ENSG00000007341	0.18899958287421
0.0263284443232347	0.796990630741809	ENSG00000007376	0.102308611652074
0.0200973427453059	0.823160844252019	ENSG00000007392	0.0897615594033961
0.00261824844164523	0.988120875976815	ENSG00000007520	0.176373243196151
-0.0983672231381765	0.481032912831753	ENSG00000007541	0.139830650840765
0.112842192673556	0.476474621569731	ENSG00000007545	0.158847308485385
-0.134897058620245	0.393358859377414	ENSG00000007944	0.15837708837341
-0.0373856376866901	0.810530874775895	ENSG00000007952	0.156325665533748
0.184964838824193	0.271743324737308	ENSG00000007968	0.168641215299973
0.008864349409287	0.825115669136458	ENSG00000008018	0.0389788143216195
0.380292775757011	0.00361013954309859	ENSG00000008083	0.130197820079082
-0.183180155327519	0.317502761915142	ENSG00000008086	0.183707220566445
-0.124484358779508	0.250556321423725	ENSG00000008130	0.108274500966344
0.331495069144135	0.0514194662625683	ENSG00000008256	0.170263702260454
-0.244911519640499	0.111354812984717	ENSG00000008277	0.153962296730233
-0.092833763506985	0.352723471788403	ENSG00000008282	0.0997818365234932
-0.0316747358000567	0.855889413300448	ENSG00000008283	0.174918814548168
0.00629713052101971	0.950121289466942	ENSG00000008294	0.10061425459416
-0.0218153186825562	0.774024751762328	ENSG00000008324	0.0756407794998145
-0.0622646143974388	0.668306178295021	ENSG00000008382	0.14561647752798
0.361699857349881	0.00729161293082962	ENSG00000008394	0.134444599071167
-0.0192228301043294	0.914099324025361	ENSG00000008405	0.178738304255411
-0.23667895762049	0.191910263444954	ENSG00000008513	0.181735895625094
-0.308161502854108	0.036263606361289	ENSG00000008517	0.147100432004672
0.0723412845219226	0.55636984902169	ENSG00000008710	0.123099059640675
0.121145204953334	0.11865087808582	ENSG00000008838	0.0772035264556291
-0.788891058742612	6.21747520365741e-06	ENSG00000008853	0.172911162992486
-0.162782788229089	0.260591683722856	ENSG00000008869	0.144895613694095
0.0472583767767893	0.363286199889518	ENSG00000008952	0.0511839543880169
-0.0555258910141591	0.220795316815678	ENSG00000008988	0.0443518227430043
0.00177474247241857	0.971083472888247	ENSG00000009307	0.0481094218651644
-0.0294816482479288	0.765343672074842	ENSG00000009335	0.0986995190280429
-0.136593161178694	0.239637521463017	ENSG00000009413	0.116152326447201
-0.0178949900019052	0.898689020154709	ENSG00000009780	0.140833824753919
-0.105509535205801	0.527197450572932	ENSG00000009790	0.167290314649631
-0.000676203041537091	0.996553165412961	ENSG00000009830	0.156922719418529
-0.0556943669418773	0.519045599061838	ENSG00000009844	0.0861454251556058
-0.156359795331005	0.0469796302131785	ENSG00000009954	0.078220602380178
-0.184674304494499	0.113269596006995	ENSG00000010017	0.116525961287572
0.0413178340002829	0.836063903769823	ENSG00000010030	0.20033066273149
-0.00387267105679683	0.979114143551655	ENSG00000010072	0.148261505539091
0.0126464609119461	0.897838695485871	ENSG00000010165	0.0984243339370092
-0.0291412357106764	0.776736249016304	ENSG00000010219	0.102727296310659
-0.022915154445113	0.627857562589018	ENSG00000010244	0.0463687932631761
0.11180181307044	0.0364396874614171	ENSG00000010256	0.0525605405903124
-0.0163018940828838	0.874565964565543	ENSG00000010270	0.103238871773613
-0.317439912340174	0.0681534281912575	ENSG00000010278	0.174189914581212
