logFC	P.Value	gene	SE
-0.0667253736551588	0.513280772540836	ENSG00000005007	0.101975455784927
-0.114951579756859	0.20188676320548	ENSG00000005020	0.0897794750727971
-0.0334501859623972	0.543436060049772	ENSG00000005022	0.0542401018384944
0.0512341795748683	0.644321987127255	ENSG00000005059	0.110988568782617
0.147561457206348	0.0806041518209968	ENSG00000005075	0.0840199648185286
0.0980539646160736	0.179487890707849	ENSG00000005100	0.0725238966776968
-0.249425992831928	0.102522797202767	ENSG00000005156	0.152888684232269
0.122485009233836	0.264843785959153	ENSG00000005175	0.109779640945095
0.198083349475291	0.278223302702458	ENSG00000005187	0.183137329625149
0.0446674491279357	0.754203335367839	ENSG00000005189	0.14295472842896
0.0249699860427495	0.80938338284731	ENSG00000005194	0.103461743460891
0.140900597795751	0.225029317862613	ENSG00000005206	0.116101511574283
0.0712827948414782	0.681803889203452	ENSG00000005238	0.174373045881248
-0.0383914044562512	0.662184485844372	ENSG00000005302	0.0876329514084662
-0.0405000561964351	0.648079220606607	ENSG00000005339	0.0885020333958443
-0.0731019653115405	0.667941294778966	ENSG00000005379	0.170899071163756
0.1165991608341	0.311530091051665	ENSG00000005436	0.115207321355349
-0.0746989292583948	0.348079646972189	ENSG00000005448	0.0792245985053411
0.477540807933375	0.00170059320384724	ENSG00000005469	0.151609315614107
-0.129033988468654	0.483393081644437	ENSG00000005471	0.184654471631122
0.0214143285633819	0.793145038121161	ENSG00000005483	0.0813480419823667
-0.230254991966228	0.0237727745363991	ENSG00000005486	0.101452063125803
0.066256225650054	0.478579081202056	ENSG00000005700	0.0933144292316181
0.0567757157261886	0.573806689060144	ENSG00000005801	0.100846131672828
0.0503209928692199	0.401994399100391	ENSG00000005810	0.0593355052773567
0.15280686568677	0.161686902236625	ENSG00000005812	0.109066823382863
-0.175768321033552	0.0161959504487233	ENSG00000005844	0.0723933706359377
0.396512059978992	0.0227756286558548	ENSG00000005884	0.174090478644741
0.128588500552968	0.327984400620401	ENSG00000005889	0.131588714936711
-0.0097203935673039	0.911411280443083	ENSG00000005893	0.0871315725015891
0.0673370332670472	0.520958737602654	ENSG00000006007	0.104845933671066
