Treatment_logFC	Ancestry_logFC	P.Value	gene	SE
0.151060373679961	0.118390287284652	0.0955781030474049	ENSG00000005339	0.0940898839164535
0.287398159048884	-0.0652069677691641	0.233942882085445	ENSG00000005379	0.177160001360051
-0.196844578193732	0.10500595254563	0.114668173640982	ENSG00000005436	0.114834375441797
-0.108030141837154	0.0352647929012717	0.269381602734108	ENSG00000005448	0.0724727156846492
-0.0157549769463038	-0.219813003737326	0.185840704893453	ENSG00000005469	0.14579511283934
0.0592329977761942	-0.211447139027072	0.386731243701285	ENSG00000005471	0.193715491360205
-0.0507512481930068	0.0451382945049664	0.630586024425555	ENSG00000005483	0.0792716415561243
0.00597565912173464	0.0333568070063902	0.931931097336865	ENSG00000005486	0.108668712708165
-0.0757264104725791	0.0542058538123648	0.611531273771279	ENSG00000005700	0.103349277163522
-0.00663996309703465	-0.0102781040357537	0.990110604581368	ENSG00000005801	0.0986889654425242
-0.0791468067134922	0.0519520087191924	0.280965867509951	ENSG00000005810	0.0644256357241185
-0.0734902611456639	-0.238471585383714	0.0241976865787548	ENSG00000005812	0.108340909230983
0.114414363340962	-0.0790385950214604	0.136044260826993	ENSG00000005844	0.0760162433530348
0.0278657574146005	0.312560667275854	0.125242306166795	ENSG00000005884	0.1867288714664
0.0518816234623975	0.080569376255012	0.674828159991832	ENSG00000005889	0.123040185348793
-0.0186327525625195	0.093476668116496	0.459323992914438	ENSG00000005893	0.0928906455313746
0.0105870717608031	-0.0219621241652535	0.965513789803256	ENSG00000006007	0.110123486012516
0.170625785617015	0.189476187487812	0.00334774771663224	ENSG00000006015	0.0826861837263674
0.0996638026005939	0.0681172638405999	0.716237600583216	ENSG00000006025	0.155774289006005
0.112196702270706	-0.0496083243320963	0.724668063567389	ENSG00000006062	0.161939435972324
0.294649204835277	0.215435060311765	0.0866881855731192	ENSG00000006118	0.174777649609386
-0.0247631476138046	-0.0213118813474281	0.919570562768189	ENSG00000006125	0.085610829949737
-0.0403412409895022	0.0274777282145465	0.914399602418973	ENSG00000006194	0.126599500962121
-0.0251352638889028	0.903290313356856	3.82599360057499e-10	ENSG00000006282	0.164340757195652
-0.488418207360963	0.0283122458716161	0.00145856886956174	ENSG00000006432	0.135438878977183
-0.00321186044925065	0.0211024729844849	0.961298786471849	ENSG00000006451	0.0925107124056084
0.173806184411032	-0.0119776717651461	0.651992903881463	ENSG00000006453	0.189853676609476
0.0470649736796477	0.0808070518768208	0.619093290326308	ENSG00000006530	0.10953904357044
-0.220244633668513	-0.0221185096505385	0.052014177865892	ENSG00000006576	0.0905310646587048
-0.0541572287951214	-0.253356852305189	0.0334716901040095	ENSG00000006607	0.119020487822964
0.122915191669	-0.07077334514575	0.140392600912829	ENSG00000006625	0.0768868966930859
0.0123692747581281	-0.0449031861740691	0.825425149079613	ENSG00000006634	0.0911583251439687
-0.068463413676148	-0.0356879534181658	0.779850612206402	ENSG00000006652	0.11290919839419
0.0478081691435482	-0.0408527049273411	0.946788738375182	ENSG00000006659	0.213609055067793
-0.161624401796004	0.190826155271032	0.106022101594436	ENSG00000006695	0.136146771188483
