Name	Number	ID	Date	Name2
HG00156	105	HG00156_REP105	rec 8-May-18	156
HG00178	106	HG00178_REP106	rec 8-May-18	178
HG00181	107	HG00181_REP107	rec 8-May-18	181
HG00309	108	HG00309_REP108	rec 8-May-18	309
HG00312	109	HG00312_REP109	rec 8-May-18	312
HG00335	110	HG00335_REP110	rec 8-May-18	335
HG00358	111	HG00358_REP111	rec 8-May-18	358
HG00365	112	HG00365_REP112	rec 8-May-18	365
HG01523	113	HG01523_REP113	rec 8-May-18	1523
HG01526	114	HG01526_REP114	rec 8-May-18	1526
HG01614	115	HG01614_REP115	rec 8-May-18	1614
HG01622	116	HG01622_REP116	rec 8-May-18	1622
HG01703	117	HG01703_REP117	rec 8-May-18	1703
HG02666	118	HG02666_REP118	rec 8-May-18	2666
HG02817	119	HG02817_REP119	rec 8-May-18	2817
HG02861	120	HG02861_REP120	rec 8-May-18	2861
HG02869	121	HG02869_REP121	rec 8-May-18	2869
HG02884	122	HG02884_REP122	rec 8-May-18	2884
HG03105	123	HG03105_REP123	rec 8-May-18	3105
HG03116	124	HG03116_REP124	rec 8-May-18	3116
HG03128	125	HG03128_REP125	rec 8-May-18	3128
GM12832	126	GM12832_REP126	rec 9-May-18	12832
GM18503	127	GM18503_REP127	rec 9-May-18	18503
GM18879	128	GM18879_REP128	rec 9-May-18	18879
GM19350	129	GM19350_REP129	rec 9-May-18	19350
GM19377	130	GM19377_REP130	rec 9-May-18	19377
GM19385	131	GM19385_REP131	rec 9-May-18	19385
GM19391	132	GM19391_REP132	rec 9-May-18	19391
GM19452	133	GM19452_REP133	rec 9-May-18	19452
GM20759	134	GM20759_REP134	rec 9-May-18	20759
GM20760	135	GM20760_REP135	rec 9-May-18	20760
GM20766	136	GM20766_REP136	rec 9-May-18	20766
GM20790	137	GM20790_REP137	rec 9-May-18	20790
GM20813	138	GM20813_REP138	rec 9-May-18	20813
HG00256	139	HG00256_REP139	rec 9-May-18	256
HG03082	140	HG03082_REP140	rec 9-May-18	3082
HG03117	141	HG03117_REP141	rec 9-May-18	3117
HG03260	142	HG03260_REP142	rec 9-May-18	3260
HG03299	143	HG03299_REP143	rec 9-May-18	3299
HG03341	144	HG03341_REP144	rec 9-May-18	3341
HG03361	145	HG03361_REP145	rec 9-May-18	3361
HG03433	146	HG03433_REP146	rec 9-May-18	3433
HG03446	147	HG03446_REP147	rec 9-May-18	3446
HG03477	148	HG03477_REP148	rec 9-May-18	3477
HG03538	149	HG03538_REP149	rec 9-May-18	3538
HG03569	150	HG03569_REP150	rec 9-May-18	3569
GM07340	151	GM07340_REP151	rec 22-May-18	7340
GM12767	152	GM12767_REP152	rec 22-May-18	12767
HG00249	153	HG00249_REP153	rec 22-May-18	249
HG00250	154	HG00250_REP154	rec 22-May-18	250
HG00272	155	HG00272_REP155	rec 22-May-18	272
HG00288	156	HG00288_REP156	rec 22-May-18	288
HG00306	157	HG00306_REP157	rec 22-May-18	306
HG00323	158	HG00323_REP158	rec 22-May-18	323
HG00343	159	HG00343_REP159	rec 22-May-18	343
HG00344	160	HG00344_REP160	rec 22-May-18	344
HG00368	161	HG00368_REP161	rec 22-May-18	368
HG00376	162	HG00376_REP162	rec 22-May-18	376
HG01500	163	HG01500_REP163	rec 22-May-18	1500
HG01620	164	HG01620_REP164	rec 22-May-18	1620
