Family.ID	Individual.ID	LCL Catalog ID in Coriell system	Paternal.ID	Maternal.ID	Gender	Phenotype	Population	Relationship	Siblings	Second.Order	Third.Order	Other.Comments	id	batch
NA19043	NA19043	GM19043	0	0	1	0	LWK	unrel	0	0	0	0	122	2
Y013	NA18516	GM18516	0	0	1	0	YRI	father	0	0	0	0	134	2
NG11	HG02938	HG02938	0	0	1	0	ESN	father	0	0	0	0	146	2
HG00179	HG00179	HG00179	0	0	2	0	FIN	unrel	0	0	0	0	158	2
NA20816	NA20816	GM20816	0	0	1	0	TSI	unrel	0	0	0	0	170	2
HG00281	HG00281	HG00281	0	0	2	0	FIN	unrel	0	0	0	0	182	2
GB63	HG02809	HG02809	HG02807	HG02808	2	0	GWD	child	0	0	0	0	194	2
IBS038	HG01706	HG01706	HG01708	HG01707	2	0	IBS	child	0	0	0	0	206	2
NG50	HG03173	HG03173	HG03172	0	1	0	ESN	child	0	0	0	0	218	2
GB106	HG03027	HG03027	0	0	1	0	GWD	father	0	0	0	0	230	2
NA19351	NA19351	GM19351	0	0	2	0	LWK	unrel	0	0	0	0	242	2
GB18	HG02563	HG02563	HG02561	HG02562	1	0	GWD	child	0	0	0	0	254	2
HG00260	HG00260	HG00260	0	0	1	0	GBR	unrel	0	0	0	0	266	2
SL26	HG03399	HG03399	HG03382	0	1	0	MSL	Child2	0	0	0	0	278	2
IBS013	HG01536	HG01536	0	0	1	0	IBS	father	0	0	0	0	290	2
IBS005	HG01512	HG01512	0	0	1	0	IBS	father	0	0	0	0	302	2
HG00341	HG00341	HG00341	0	0	1	0	FIN	unrel	0	0	0	0	314	2
HG00135	HG00135	HG00135	0	0	2	0	GBR	unrel	0	0	0	0	326	2
HG00105	HG00105	HG00105	0	0	1	0	GBR	unrel	0	0	0	0	338	2
IBS049	HG01770	HG01770	0	0	2	0	IBS	mother	0	0	0	0	350	2
GB87	HG02879	HG02879	0	0	2	0	GWD	mother	0	0	0	0	362	2
HG00140	HG00140	HG00140	0	0	1	0	GBR	unrel	0	0	0	0	374	2
